tab	measurements																		
citations	dir_dec	dir_inc	er_analyst_mail_names	experiment	flag	instrument_codes	location	magn_moment	meas_temp	method_codes	treat_step_num	sample	site	specimen	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	200.6	27.9		sr01e2:LP-DIR-AF	g		Snake River	2.930e-05	273	LT-NO:LP-DIR-AF	0	sr01e	sr01	sr01e2	0.000e+00				273
This study	201	27.7		sr01e2:LP-DIR-AF	g		Snake River	2.830e-05	273	LT-AF-Z:LP-DIR-AF	1	sr01e	sr01	sr01e2	1.000e-02				273
This study	200.5	27.4		sr01e2:LP-DIR-AF	g		Snake River	2.610e-05	273	LT-AF-Z:LP-DIR-AF	2	sr01e	sr01	sr01e2	2.000e-02				273
This study	199.9	27.7		sr01e2:LP-DIR-AF	g		Snake River	2.370e-05	273	LT-AF-Z:LP-DIR-AF	3	sr01e	sr01	sr01e2	3.000e-02				273
This study	202.5	27.9		sr01e2:LP-DIR-AF	g		Snake River	1.850e-05	273	LT-AF-Z:LP-DIR-AF	4	sr01e	sr01	sr01e2	6.000e-02				273
This study	199.4	27.4		sr01e2:LP-DIR-AF	g		Snake River	1.540e-05	273	LT-AF-Z:LP-DIR-AF	5	sr01e	sr01	sr01e2	8.000e-02				273
This study	200.3	27.9		sr01e2:LP-DIR-AF	g		Snake River	1.260e-05	273	LT-AF-Z:LP-DIR-AF	6	sr01e	sr01	sr01e2	1.000e-01				273
This study	198.9	27.6		sr01e2:LP-DIR-AF	g		Snake River	1.050e-05	273	LT-AF-Z:LP-DIR-AF	7	sr01e	sr01	sr01e2	1.200e-01				273
This study	201.6	27.9		sr01e2:LP-DIR-AF	g		Snake River	8.730e-06	273	LT-AF-Z:LP-DIR-AF	8	sr01e	sr01	sr01e2	1.400e-01				273
This study	200.5	27.2		sr01e2:LP-DIR-AF	g		Snake River	7.630e-06	273	LT-AF-Z:LP-DIR-AF	9	sr01e	sr01	sr01e2	1.600e-01				273
This study	202.3	27.7		sr01e2:LP-DIR-AF	g		Snake River	6.550e-06	273	LT-AF-Z:LP-DIR-AF	10	sr01e	sr01	sr01e2	1.800e-01				273
This study	178.7	39.1		sr01g2:LP-DIR-AF	g		Snake River	2.280e-05	273	LT-NO:LP-DIR-AF	0	sr01g	sr01	sr01g2	0.000e+00				273
This study	180.6	38.3		sr01g2:LP-DIR-AF	g		Snake River	2.180e-05	273	LT-AF-Z:LP-DIR-AF	1	sr01g	sr01	sr01g2	1.000e-02				273
This study	177.9	38.2		sr01g2:LP-DIR-AF	g		Snake River	1.920e-05	273	LT-AF-Z:LP-DIR-AF	2	sr01g	sr01	sr01g2	2.000e-02				273
This study	180	38.2		sr01g2:LP-DIR-AF	g		Snake River	1.640e-05	273	LT-AF-Z:LP-DIR-AF	3	sr01g	sr01	sr01g2	3.000e-02				273
This study	179.8	38.5		sr01g2:LP-DIR-AF	g		Snake River	1.420e-05	273	LT-AF-Z:LP-DIR-AF	4	sr01g	sr01	sr01g2	4.000e-02				273
This study	182.9	38.3		sr01g2:LP-DIR-AF	g		Snake River	1.140e-05	273	LT-AF-Z:LP-DIR-AF	5	sr01g	sr01	sr01g2	6.000e-02				273
This study	183.1	38.2		sr01g2:LP-DIR-AF	g		Snake River	9.460e-06	273	LT-AF-Z:LP-DIR-AF	6	sr01g	sr01	sr01g2	8.000e-02				273
This study	179.5	38.2		sr01g2:LP-DIR-AF	g		Snake River	7.970e-06	273	LT-AF-Z:LP-DIR-AF	7	sr01g	sr01	sr01g2	1.000e-01				273
This study	181.5	38.3		sr01g2:LP-DIR-AF	g		Snake River	6.690e-06	273	LT-AF-Z:LP-DIR-AF	8	sr01g	sr01	sr01g2	1.200e-01				273
This study	179.1	38.2		sr01g2:LP-DIR-AF	g		Snake River	5.670e-06	273	LT-AF-Z:LP-DIR-AF	9	sr01g	sr01	sr01g2	1.400e-01				273
This study	180.1	38.5		sr01g2:LP-DIR-AF	g		Snake River	4.720e-06	273	LT-AF-Z:LP-DIR-AF	10	sr01g	sr01	sr01g2	1.600e-01				273
This study	179.9	38.3		sr01g2:LP-DIR-AF	g		Snake River	4.200e-06	273	LT-AF-Z:LP-DIR-AF	11	sr01g	sr01	sr01g2	1.800e-01				273
This study	173.9	26.3		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	4.070e-05	273	LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	0	sr01a	sr01	sr01a1		0	0	0	273
