tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	1.1	170.7	27.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01a1	4.144e-05	-1.036	0.091	0.094	u	18.7	0.788	0.694	2	-1	7	5	6.7	0.9591	t	4e-05	823	573	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr01a	sr01a1
This study	Recalculated from original measurements; supercedes published results.	0.2	172.3	30.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr01a2	3.939e-05	-0.985	0.073	0.072	u	15.6	0.91	0.86	0.5	3	8	5	10.4	0.9686	t	4e-05	848	573	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr01a	sr01a2
This study	Recalculated from original measurements; supercedes published results.	1.1	159.9	26.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01c2	3.167e-05	-0.792	0.039	0.031	u	0.2	0.639	0.542	1.3	-1	5	5	11.5	0.9954	t	4e-05	823	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr01c	sr01c2
This study	Recalculated from original measurements; supercedes published results.	0.6	187.5	38.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01d1	3.727e-05	-0.932	0.047	0.044	u	7.7	0.821	0.783	1.5	-1	11	6	14.2	0.9802	t	4e-05	823	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr01d	sr01d1
This study	Recalculated from original measurements; supercedes published results.	2	205.5	52.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01i1	3.066e-05	-0.766	0.087	0.067	u	11.5	0.691	0.613	3.9	-1	9	5	6.6	0.9474	t	4e-05	773	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr01i	sr01i1
This study	Recalculated from original measurements; supercedes published results.	11.9	38.1	-36.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-IZZI: LP-PI-TRM :sr03a1	3.172e-05	-0.793	0.14	0.111	u	2.9	0.174	0.163	19	-1	6	4	0.9	0.9235	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g	sr03a	sr03a1
This study	Recalculated from original measurements; supercedes published results.	28	41.6	-48.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03b1	1.79e-05	-0.447	0.276	0.124	u	20.6	0.379	0.354	8.4	-1	7	5	1.1	0.6554	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr03b	sr03b1
This study	Recalculated from original measurements; supercedes published results.	17.3	27	-46.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03c1	2.235e-05	-0.559	0.168	0.094	u	0.9	0.137	0.121	26.3	-1	6	5	0.6	0.8899	t	4e-05	673	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr03c	sr03c1
This study	Recalculated from original measurements; supercedes published results.	3.9	20.8	-33.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03e1	4.202e-05	-1.051	0.068	0.072	u	5.8	0.353	0.368	9.2	-1	6	5	4	0.9815	t	4e-05	673	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr03e	sr03e1
This study	Recalculated from original measurements; supercedes published results.	3.6	196.7	10.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr09f1	3.404e-05	-0.851	0.022	0.019	u	16.2	0.684	0.614	1	-1	5	3	21.1	0.9986	t	4e-05	573	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr09f	sr09f1
This study	Recalculated from original measurements; supercedes published results.	1.6	353.3	-42.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr21h1	0.0001196	-2.991	0.14	0.418	u	20.3	0.244	0.248	4.6	-1	7	3	1.2	0.9048	t	4e-05	723	423	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr21h	sr21h1
This study	Recalculated from original measurements; supercedes published results.	4.7	19.1	12.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr28b1	5.434e-05	-1.358	0.131	0.178	u	1.1	0.685	0.517	3.2	-1	6	5	3.8	0.9322	t	4e-05	823	623	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr28b	sr28b1
This study	Recalculated from original measurements; supercedes published results.	1.2	28.6	22			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr28c1	2.181e-05	-0.545	0.104	0.057	u	1.1	0.788	0.524	1.2	3	5	5	5.4	0.9677	t	4e-05	848	723	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr28c	sr28c1
