tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	1.1	170.7	27.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01a1	Igneous:Extrusive	Lava Flow	4.144e-05	-1.036	0.091	0.094	u	18.7	0.788	0.694	2	-1	7	5	6.7	0.9591	t	4e-05	Basalt	823	573	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr01a	sr01a1
This study	Recalculated from original measurements; supercedes published results.		331	64.4	1.8	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr01a	sr01a1
This study	Recalculated from original measurements; supercedes published results.	0.2	172.3	30.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr01a2	Igneous:Extrusive	Lava Flow	3.939e-05	-0.985	0.073	0.072	u	15.6	0.91	0.86	0.5	3	8	5	10.4	0.9686	t	4e-05	Basalt	848	573	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr01a	sr01a2
This study	Recalculated from original measurements; supercedes published results.		325.9	62.1	0.9	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr01a2	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr01a	sr01a2
This study	Recalculated from original measurements; supercedes published results.	1.1	159.9	26.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01c2	Igneous:Extrusive	Lava Flow	3.167e-05	-0.792	0.039	0.031	u	0.2	0.639	0.542	1.3	-1	5	5	11.5	0.9954	t	4e-05	Basalt	823	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr01c	sr01c2
This study	Recalculated from original measurements; supercedes published results.		345	64.3	3	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01c2	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr01c	sr01c2
This study	Recalculated from original measurements; supercedes published results.	0.6	187.5	38.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01d1	Igneous:Extrusive	Lava Flow	3.727e-05	-0.932	0.047	0.044	u	7.7	0.821	0.783	1.5	-1	11	6	14.2	0.9802	t	4e-05	Basalt	823	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr01d	sr01d1
This study	Recalculated from original measurements; supercedes published results.		326.9	65.2	1.9	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01d1	Igneous:Extrusive	Lava Flow					u												Basalt	798	373	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr01d	sr01d1
This study	Recalculated from original measurements; supercedes published results.		333	67.1	1.9	10	p	n	0	LP-DIR-AF:sr01e2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr01e	sr01e2
This study	Recalculated from original measurements; supercedes published results.		325.9	66.1	1.6	15	p	n	0	LP-DIR-T:sr01f2	Igneous:Extrusive	Lava Flow					u												Basalt	923	423	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr01f	sr01f2
This study	Recalculated from original measurements; supercedes published results.		324.4	66.7	2.6	10	p	n	0	LP-DIR-AF:sr01g2	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr01g	sr01g2
This study	Recalculated from original measurements; supercedes published results.	2	205.5	52.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01i1	Igneous:Extrusive	Lava Flow	3.066e-05	-0.766	0.087	0.067	u	11.5	0.691	0.613	3.9	-1	9	5	6.6	0.9474	t	4e-05	Basalt	773	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr01i	sr01i1
This study	Recalculated from original measurements; supercedes published results.		328.5	62.5	2.8	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr01i1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr01i	sr01i1
This study	Recalculated from original measurements; supercedes published results.	11.9	38.1	-36.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-IZZI: LP-PI-TRM :sr03a1	Igneous:Extrusive	Lava Flow	3.172e-05	-0.793	0.14	0.111	u	2.9	0.174	0.163	19	-1	6	4	0.9	0.9235	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:DE-BFL:LP-PI-TRM	g	sr03a	sr03a1
This study	Recalculated from original measurements; supercedes published results.		146.5	-54.2	3.8	8	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-IZZI: LP-PI-TRM :sr03a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr03a	sr03a1
This study	Recalculated from original measurements; supercedes published results.	28	41.6	-48.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03b1	Igneous:Extrusive	Lava Flow	1.79e-05	-0.447	0.276	0.124	u	20.6	0.379	0.354	8.4	-1	7	5	1.1	0.6554	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr03b	sr03b1
This study	Recalculated from original measurements; supercedes published results.		121.4	-65.3	13.1	5	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr03b	sr03b1
This study	Recalculated from original measurements; supercedes published results.	17.3	27	-46.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03c1	Igneous:Extrusive	Lava Flow	2.235e-05	-0.559	0.168	0.094	u	0.9	0.137	0.121	26.3	-1	6	5	0.6	0.8899	t	4e-05	Basalt	673	423	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr03c	sr03c1
This study	Recalculated from original measurements; supercedes published results.		159.8	-60.3	0.6	4	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03c1	Igneous:Extrusive	Lava Flow					u												Basalt	823	723	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr03c	sr03c1
This study	Recalculated from original measurements; supercedes published results.	3.9	20.8	-33.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03e1	Igneous:Extrusive	Lava Flow	4.202e-05	-1.051	0.068	0.072	u	5.8	0.353	0.368	9.2	-1	6	5	4	0.9815	t	4e-05	Basalt	673	423	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr03e	sr03e1
This study	Recalculated from original measurements; supercedes published results.		150.9	-61.2	2.9	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr03e1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr03e	sr03e1
