tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	Snake River	sr01a	sr01	sr01a1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	8.230e+02	5.730e+02	K	-1.0	-1.036	0.091	0.094	u	1.1	170.7		l	7.8	18.7	0.788	0.694	1.5		27.3	4.1437e-05	2.0	7	5	4.000e-05	-1	6.7	0.9591	-1
l	unknown	This study	Snake River	sr01a	sr01	sr01a2	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	pmagpy-2.143	8.480e+02	5.730e+02	K	-1.0	-0.985	0.073	0.072	u	0.2	172.3		l	7.2	15.6	0.910	0.860	4.5		30.1	3.9388e-05	0.5	8	5	4.000e-05	3	10.4	0.9686	-1
l	unknown	This study	Snake River	sr01c	sr01	sr01c2	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	8.230e+02	6.730e+02	K	-1.0	-0.792	0.039	0.031	u	1.1	159.9		l	1.3	0.2	0.639	0.542	1.0		26.2	3.1672e-05	1.3	5	5	4.000e-05	-1	11.5	0.9954	-1
l	unknown	This study	Snake River	sr01d	sr01	sr01d1	sr01d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	8.230e+02	3.730e+02	K	-1.0	-0.932	0.047	0.044	u	0.6	187.5		l	5.7	7.7	0.821	0.783	0.6		38.3	3.7275e-05	1.5	11	6	4.000e-05	-1	14.2	0.9802	-1
l	unknown	This study	Snake River	sr01i	sr01	sr01i1	sr01i1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	7.730e+02	3.730e+02	K	-1.0	-0.766	0.087	0.067	u	2.0	205.5		l	7.3	11.5	0.691	0.613	0.3		52.2	3.0656e-05	3.9	9	5	4.000e-05	-1	6.6	0.9474	-1
l	unknown	This study	Snake River	sr03a	sr03	sr03a1	sr03a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.143	6.730e+02	3.730e+02	K	-1.0	-0.793	0.140	0.111	u	11.9	38.1		l	9.4	2.9	0.174	0.163	0.6		-36.2	3.1720e-05	19.0	6	4	4.000e-05	-1	0.9	0.9235	-1
l	unknown	This study	Snake River	sr03b	sr03	sr03b1	sr03b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	6.730e+02	3.730e+02	K	-1.0	-0.447	0.276	0.124	u	28.0	41.6		l	20.3	20.6	0.379	0.354	0.7		-48.7	1.7900e-05	8.4	7	5	4.000e-05	-1	1.1	0.6554	-1
l	unknown	This study	Snake River	sr03c	sr03	sr03c1	sr03c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	6.730e+02	4.230e+02	K	-1.0	-0.559	0.168	0.094	u	17.3	27.0		l	11.6	0.9	0.137	0.121	0.8		-46.2	2.2354e-05	26.3	6	5	4.000e-05	-1	0.6	0.8899	-1
l	unknown	This study	Snake River	sr03e	sr03	sr03e1	sr03e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	6.730e+02	4.230e+02	K	-1.0	-1.051	0.068	0.072	u	3.9	20.8		l	7.9	5.8	0.353	0.368	1.0		-33.5	4.2024e-05	9.2	6	5	4.000e-05	-1	4.0	0.9815	-1
l	unknown	This study	Snake River	sr09f	sr09	sr09f1	sr09f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	unknown	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.143	5.730e+02	3.730e+02	K	-1.0	-0.851	0.022	0.019	u	3.6	196.7		l	21.6	16.2	0.684	0.614	1.0		10.8	3.4044e-05	1.0	5	3	4.000e-05	-1	21.1	0.9986	-1
