tab 	specimens
citations	geologic_classes	geologic_types	lithologies	sample	specimen
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	A	A-1-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	A	A-2-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	A	A-3-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	A	A-4-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	A	A-4-4L
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	A	A-5-3
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2360-1	AL2360-1a
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2360-1	AL2360-1b
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2360-1	AL2360-1c
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2360-1	AL2360-1d
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2360-1	AL2360-1e
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2742-4	AL2742-4a
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2742-4	AL2742-4b
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2742-4	AL2742-4e
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2742-4	AL2742-4f
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2742-4	AL2742-4g
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2770-3	AL2770-3a
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2770-3	AL2770-3b
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL2770-3	AL2770-3c
