tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
12848	2	2015-12-25T02:33:26.000Z	@ltauxe	3.0	10.1002/2016GC006307	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e
EPR	Submarine Site	10.1029/2005GC001141:This study	9.8	9.8	255.7	255.7
Finland	Archeological Site	10.1016/j.pepi.2014.12.007:This study	60.1	60.1	24.9	24.9
HUJI	Laboratory	10.016/j.epsl.2011.08.024:10.1016/j.epsl.2009.12.022:This study	31.7811	31.7811	35.2	35.2
Hawaii	Outcrop	10.1029/2005GC001141:This study	19.07	19.9	204.1	205.03
Krafla	Outcrop	10.1111/j.1365-246X.2012.05412.x:This study	65.7	65.7	343.2	343.2
Paracutin	Outcrop	10.1029/2010JB007844:This study	19.3	19.3	257.9	257.9
Sakurajima	Outcrop	10.1016/j.pepi.2008.03.006:This study	31.6	31.6	229.4	229.4
Vesuvius	Outcrop	10.1029/2010JB007844:This study	40.8	40.8	14.5	14.5
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies
1991-1992 Eruption Site	EPR	10.1029/2005GC001141:This study	Extrusive:Igneous	Glassy Margin	Submarine Basaltic Glass
BBQ	EPR	10.1029/93jb01160:This study	Extrusive:Igneous	Glassy Margin	Submarine Basaltic Glass
BR06	Finland	10.1016/j.pepi.2014.12.007:This study	Archeologic	Brick	Not Specified
Hawaii 1960 Flow	Hawaii	10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	Basalt
P	Paracutin	10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	Basalt
SW	Sakurajima	10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava Flow	Andesite
TS	Sakurajima	10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava Flow	Andesite
VM	Vesuvius	10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	Basalt
hw108	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
hw123	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
hw126	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
hw128	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
hw201	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
hw226	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
hw241	Hawaii	10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	Basalt
kf	Krafla	10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	Basalt
remag-rs61	HUJI	10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified
remag-rs62	HUJI	10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified
remag-rs63	HUJI	10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified
remag-rs78	HUJI	10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified
rs25	HUJI	10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified
rs26	HUJI	10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified
rs27	HUJI	10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified
>>>>>>>>>>
tab delimited	samples
sample	site	citations	geologic_classes	geologic_types	lithologies	lat	lon
A	Hawaii 1960 Flow	10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	Basalt	19.52	204.19
AL2360-1	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL2742-4	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL2770-3	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL2844-2	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL2852-2	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3023-1	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3028-2	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3029-4	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3029-5	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3031-1	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3034-2	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3034-5	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3035-2	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3156-1	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3159-1	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
AL3166-1	1991-1992 Eruption Site	10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
B	Hawaii 1960 Flow	10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	Basalt	19.52	204.19
BR06	BR06	10.1016/j.pepi.2014.12.007:This study	Archeologic	Brick	Not Specified	60.1	24.90
C	Hawaii 1960 Flow	10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	Basalt	19.52	204.19
SBG_2352-2	BBQ	10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
SBG_2358-4	BBQ	10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
SBG_2372-2	BBQ	10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	9.8	255.70
