tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
15-1-013	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.23	22.75	Ma
15-1-022	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.31	22.7786	Ma
15-1-024	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.34	22.7893	Ma
15-1-028	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.38	22.8036	Ma
15-1-031	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.41	22.8143	Ma
15-1-035	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.44	22.825	Ma
15-1-039	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.48	22.8393	Ma
15-1-041	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.51	22.85	Ma
15-1-045	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.54	22.8598	Ma
15-1-047	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.56	22.8663	Ma
15-1-051	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.6	22.8792	Ma
15-1-054	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.63	22.889	Ma
15-1-057	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.66	22.8988	Ma
15-1-060	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.7	22.9118	Ma
15-1-063	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.73	22.9215	Ma
15-1-066	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.76	22.9312	Ma
15-1-069	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.78	22.9377	Ma
15-1-072	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.81	22.9475	Ma
15-1-075	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.85	22.9605	Ma
15-1-079	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	55.88	22.9703	Ma
