tab 	measurements
citations	experiment	experiments	location	meas_orient_phi	meas_orient_theta	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_volume	treat_temp
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009680000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009790000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009830000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009690000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009790000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009720000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009670000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009660000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009720000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009670000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009750000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009820000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009740000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009750000	2.730e+02
This study	975.0000:LP-AN-MS	east-a1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a1	u	0.0009820000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009800000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009860000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009950000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009780000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009850000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009810000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009680000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009690000	2.730e+02
This study	985.0000:LP-AN-MS	east-a2:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-a	east-	pmagpy-3.22.1	east-a2	u	0.0009810000	2.730e+02
