tab 	specimens																
aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	experiments	location	method_codes	software_packages	specimen	sample
0.3337319493:0.3305568397:0.3357112110:0.0009769790:0.0024469965:0.0008116458	0.000974	15	0.000139715	SI	0	AMS				This study		east-a1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-a1	east-a
0.3341370821:0.3284286559:0.3374342620:0.0001773128:0.0021311203:0.0010824590	0.0009814	15	0.000182557	SI	0	AMS				This study		east-a2:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-a2	east-a
0.3331312835:0.3287450671:0.3381235898:0.0007427490:0.0037942282:0.0000426351	0.0008666	15	0.000185801	SI	0	AMS				This study		east-b1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-b1	east-b
0.3331412971:0.3271080852:0.3397506475:0.0002878289:0.0035182203:-0.0001196655	0.000950867	15	0.000171339	SI	0	AMS				This study		east-b2:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-b2	east-b
0.3328836262:0.3323578835:0.3347584605:0.0015655577:0.0019069042:-0.0009250334	0.000888067	15	9.69E-05	SI	0	AMS				This study		east-c1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-c1	east-c
0.3330349922:0.3300276995:0.3369373381:0.0004962482:0.0042626988:-0.0023870883	0.001067733	15	8.06E-05	SI	0	AMS				This study		east-d1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-d1	east-d
0.3326907158:0.3294689655:0.3378403187:0.0018468227:0.0032254052:-0.0021472212	0.000989867	15	0.000191152	SI	0	AMS				This study		east-e1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-e1	east-e
0.3322266042:0.3271264136:0.3406470120:0.0042223525:-0.0044877185:0.0029221580	0.0012602	15	0.000179615	SI	0	AMS				This study		west-g1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-g1	west-g
0.3343273997:0.3284314871:0.3372410834:0.0017767632:-0.0056440923:0.0012475871	0.0012558	15	0.000144032	SI	0	AMS				This study		west-h1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-h1	west-h
0.3340896666:0.3290136158:0.3368967175:0.0016511035:-0.0043885089:0.0017126193	0.0012378	15	0.000106211	SI	0	AMS				This study		west-i1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-i1	west-i
0.3339426517:0.3304873109:0.3355700076:0.0002160284:-0.0011703535:0.0000305399	0.001047067	15	0.000111296	SI	0	AMS				This study		west-k2:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-k2	west-k
0.3340485096:0.3297173083:0.3362341821:-0.0000927367:-0.0008613674:-0.0001350491	0.001219933	15	0.000139623	SI	0	AMS				This study		west-l1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-l1	west-l
					0	AMS	0.337067:49.3984620777:60.3969421845:181.04935035:20.6858668957:3.21946313269:279.035449843:20.2010753394:1.54088726788	0.333443:181.04935035:20.6858668957:49.3984620777:60.3969421845:3.21946313269:279.035449843:20.2010753394:2.95127874596	0.32949:279.035449843:20.2010753394:49.3984620777:60.3969421845:1.54088726788:181.04935035:20.6858668957:2.95127874596	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-a1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-a1	east-a
					0	AMS	0.338208:38.9653105545:70.4807679639:176.016964086:14.5463098602:3.49186454337:269.377466734:12.7298110314:1.48712356177	0.333843:176.016964086:14.5463098602:38.9653105545:70.4807679639:3.49186454337:269.377466734:12.7298110314:2.58715141754	0.327949:269.377466734:12.7298110314:38.9653105545:70.4807679639:1.48712356177:176.016964086:14.5463098602:2.58715141754	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-a2:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-a2	east-a
					0	AMS	0.33948:82.2652230808:70.1964100451:185.496271154:4.71152536059:2.4713509458:277.139933923:19.1892264373:1.27714004102	0.333199:185.496271154:4.71152536059:82.2652230808:70.1964100451:2.4713509458:277.139933923:19.1892264373:2.64025067472	0.327321:277.139933923:19.1892264373:82.2652230808:70.1964100451:1.27714004102:185.496271154:4.71152536059:2.64025067472	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-b1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-b1	east-b
					0	AMS	0.340664:91.3210225617:75.4539283011:182.541293117:0.316603533752:1.90648550019:272.623425344:14.5424735863:0.988776636642	0.333155:182.541293117:0.316603533752:91.3210225617:75.4539283011:1.90648550019:272.623425344:14.5424735863:2.05285252805	0.326181:272.623425344:14.5424735863:91.3210225617:75.4539283011:0.988776636642:182.541293117:0.316603533752:2.05285252805	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-b2:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-b2	east-b
					0	AMS	0.335813:92.9116096948:61.6210672343:210.508071286:14.0499164593:4.65104564533:306.94104648:24.1185280814:1.42084547684	0.334075:210.508071286:14.0499164593:92.9116096948:61.6210672343:4.65104564533:306.94104648:24.1185280814:2.04358308371	0.330113:306.94104648:24.1185280814:92.9116096948:61.6210672343:1.42084547684:210.508071286:14.0499164593:2.04358308371	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-c1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-c1	east-c
					0	AMS	0.339564:127.772640908:61.4718442395:22.3091600181:8.24672886267:1.00563928976:288.055832972:27.0998354009:0.561816047993	0.332865:22.3091600181:8.24672886267:127.772640908:61.4718442395:1.00563928976:288.055832972:27.0998354009:1.27271153191	0.327572:288.055832972:27.0998354009:127.772640908:61.4718442395:0.561816047993:22.3091600181:8.24672886267:1.27271153191	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-d1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-d1	east-d
					0	AMS	0.339281:131.153401726:69.4482085127:28.2408514631:4.78905211413:2.75164632441:296.499449427:19.9367128326:1.32684998642	0.333478:28.2408514631:4.78905211413:131.153401726:69.4482085127:2.75164632441:296.499449427:19.9367128326:2.5598324176	0.327241:296.499449427:19.9367128326:131.153401726:69.4482085127:1.32684998642:28.2408514631:4.78905211413:2.5598324176	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	east-e1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	east-e1	east-e
					0	AMS	0.34229:307.692321298:72.8923221935:210.613915313:2.17206109122:1.95064181476:119.951140166:16.9607568477:0.782867249627	0.334596:210.613915313:2.17206109122:307.692321298:72.8923221935:1.95064181476:119.951140166:16.9607568477:1.3072658875	0.323114:119.951140166:16.9607568477:307.692321298:72.8923221935:0.782867249627:210.613915313:2.17206109122:1.3072658875	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	west-g1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-g1	west-g
					0	AMS	0.340018:278.421163119:64.2880908399:13.4904995825:2.4363506155:2.30982684056:104.657499671:25.5792258295:0.811024538236	0.334808:13.4904995825:2.4363506155:278.421163119:64.2880908399:2.30982684056:104.657499671:25.5792258295:1.24944631865	0.325174:104.657499671:25.5792258295:278.421163119:64.2880908399:0.811024538236:13.4904995825:2.4363506155:1.24944631865	This study	Critical F: 3.4817;Critical F12/F13: 4.2565	west-h1:AMS	Troodos	LP-X:AE-H:LP-AN-MS	pmagpy-3.22.1	west-h1	west-h
