H (Oe)	M (emu)
5001	7.48E-04
4964.4	7.45E-04
4915.1	7.40E-04
4864.9	7.36E-04
4814.8	7.31E-04
4764.7	7.27E-04
4714.5	7.22E-04
4664.4	7.18E-04
4614.3	7.13E-04
4564.1	7.08E-04
4514	7.04E-04
4464	6.99E-04
4414	6.95E-04
4364	6.90E-04
4314	6.86E-04
4264	6.81E-04
4213.9	6.76E-04
4163.9	6.72E-04
4113.8	6.67E-04
4063.4	6.62E-04
4013.4	6.58E-04
3963.5	6.53E-04
3913.4	6.48E-04
3863.4	6.44E-04
3813.4	6.39E-04
3763.4	6.34E-04
3713.4	6.30E-04
3663.4	6.25E-04
3613.4	6.20E-04
3563.3	6.15E-04
3513.2	6.11E-04
3463.1	6.06E-04
3413.1	6.01E-04
3363.1	5.96E-04
3313.1	5.92E-04
3263	5.87E-04
3213	5.82E-04
3163.1	5.77E-04
3113.1	5.72E-04
3063.1	5.68E-04
3013.1	5.63E-04
2963	5.58E-04
2913.1	5.53E-04
2863.1	5.48E-04
2812.9	5.43E-04
2762.9	5.39E-04
2712.9	5.34E-04
2662.8	5.29E-04
2613	5.24E-04
2563	5.19E-04
2512.9	5.14E-04
2462.9	5.09E-04
2412.9	5.04E-04
2362.9	4.99E-04
2312.8	4.94E-04
2262.9	4.89E-04
2212.8	4.84E-04
2162.7	4.79E-04
2112.7	4.73E-04
2062.6	4.68E-04
2012.5	4.63E-04
1962.5	4.58E-04
1912.5	4.53E-04
1862.6	4.47E-04
1812.6	4.42E-04
1762.6	4.37E-04
1712.5	4.31E-04
1662.5	4.26E-04
1612.6	4.20E-04
1562.3	4.14E-04
1512.3	4.09E-04
1462.3	4.03E-04
1412.2	3.97E-04
1362.3	3.92E-04
1312.3	3.86E-04
1262.3	3.80E-04
1212.3	3.73E-04
1162.3	3.67E-04
1112.3	3.61E-04
1062.3	3.54E-04
1012.3	3.48E-04
962.2	3.41E-04
912.1	3.34E-04
862.2	3.27E-04
812.2	3.20E-04
762.1	3.13E-04
712.1	3.05E-04
662.1	2.97E-04
612.2	2.89E-04
562.2	2.80E-04
512.1	2.72E-04
462.1	2.62E-04
412.2	2.52E-04
362.4	2.42E-04
311.9	2.31E-04
262	2.19E-04
212	2.07E-04
162	1.93E-04
112	1.77E-04
62	1.59E-04
12.1	1.37E-04
-37.9	1.10E-04
-87.9	7.41E-05
-137.9	3.10E-05
-187.9	-1.53E-05
-237.9	-6.01E-05
-287.9	-1.01E-04
-338.1	-1.36E-04
-388.1	-1.66E-04
-438.1	-1.91E-04
-488.2	-2.13E-04
-538.2	-2.32E-04
-588.2	-2.49E-04
-638.1	-2.63E-04
-688	-2.76E-04
-738	-2.88E-04
-788	-2.98E-04
-838	-3.08E-04
-888	-3.17E-04
-938.1	-3.26E-04
-988.2	-3.34E-04
-1038.1	-3.42E-04
-1088.2	-3.49E-04
-1138.2	-3.56E-04
-1188.2	-3.63E-04
-1238.1	-3.70E-04
-1288.1	-3.76E-04
-1338.1	-3.83E-04
-1388.1	-3.89E-04
-1438.1	-3.95E-04
-1488.1	-4.01E-04
-1538.2	-4.07E-04
-1588.4	-4.13E-04
-1638.3	-4.19E-04
-1688.3	-4.24E-04
-1738.4	-4.30E-04
-1788.4	-4.36E-04
-1838.3	-4.41E-04
-1888.3	-4.47E-04
-1938.2	-4.52E-04
-1988.2	-4.57E-04
-2038.4	-4.63E-04
-2088.5	-4.68E-04
-2138.4	-4.73E-04
-2188.5	-4.78E-04
-2238.5	-4.83E-04
-2288.5	-4.89E-04
-2338.6	-4.94E-04
-2388.6	-4.99E-04
-2438.5	-5.04E-04
-2488.5	-5.09E-04
-2538.6	-5.14E-04
-2588.5	-5.19E-04
-2638.5	-5.24E-04
-2688.5	-5.29E-04
-2738.4	-5.34E-04
-2788.4	-5.39E-04
-2838.6	-5.44E-04
-2888.6	-5.49E-04
-2938.5	-5.54E-04
-2988.6	-5.59E-04
-3038.6	-5.63E-04
-3088.6	-5.68E-04
-3138.5	-5.73E-04
-3188.5	-5.78E-04
-3238.4	-5.83E-04
-3288.5	-5.88E-04
-3338.5	-5.92E-04
-3388.4	-5.97E-04
-3438.5	-6.02E-04
-3488.6	-6.07E-04
-3538.5	-6.12E-04
-3588.6	-6.16E-04
-3638.7	-6.21E-04
-3688.6	-6.26E-04
-3738.6	-6.31E-04
-3788.6	-6.35E-04
-3838.5	-6.40E-04
-3888.5	-6.45E-04
-3938.5	-6.50E-04
-3988.5	-6.55E-04
-4038.5	-6.59E-04
-4088.7	-6.64E-04
-4138.8	-6.69E-04
-4188.8	-6.73E-04
-4238.8	-6.78E-04
-4288.8	-6.83E-04
-4338.8	-6.87E-04
-4388.7	-6.92E-04
-4438.7	-6.97E-04
-4488.6	-7.01E-04
-4538.6	-7.06E-04
-4588.7	-7.11E-04
-4638.7	-7.15E-04
-4688.8	-7.20E-04
-4738.8	-7.24E-04
-4788.8	-7.29E-04
-4838.8	-7.34E-04
-4888.8	-7.38E-04
-4938.8	-7.43E-04
-5000.9	-7.49E-04
-5001	-7.49E-04
-4964.4	-7.46E-04
-4915.1	-7.41E-04
-4864.9	-7.37E-04
-4814.8	-7.32E-04
-4764.7	-7.27E-04
-4714.5	-7.23E-04
-4664.4	-7.18E-04
-4614.3	-7.14E-04
-4564.1	-7.09E-04
-4514	-7.04E-04
-4464	-7.00E-04
-4414	-6.95E-04
-4364	-6.90E-04
-4314	-6.86E-04
-4264	-6.81E-04
-4213.9	-6.77E-04
-4163.9	-6.72E-04
-4113.8	-6.67E-04
-4063.4	-6.63E-04
-4013.4	-6.58E-04
-3963.5	-6.53E-04
-3913.4	-6.48E-04
-3863.4	-6.44E-04
-3813.4	-6.39E-04
-3763.4	-6.34E-04
-3713.4	-6.30E-04
-3663.4	-6.25E-04
-3613.4	-6.20E-04
-3563.3	-6.16E-04
-3513.2	-6.11E-04
-3463.1	-6.06E-04
-3413.1	-6.01E-04
-3363.1	-5.97E-04
-3313.1	-5.92E-04
-3263	-5.87E-04
-3213	-5.82E-04
-3163.1	-5.77E-04
-3113.1	-5.73E-04
-3063.1	-5.68E-04
-3013.1	-5.63E-04
-2963	-5.58E-04
-2913.1	-5.53E-04
-2863.1	-5.49E-04
-2812.9	-5.44E-04
-2762.9	-5.39E-04
-2712.9	-5.34E-04
-2662.8	-5.29E-04
-2613	-5.24E-04
-2563	-5.19E-04
-2512.9	-5.14E-04
-2462.9	-5.09E-04
-2412.9	-5.04E-04
-2362.9	-4.99E-04
-2312.8	-4.94E-04
-2262.9	-4.89E-04
-2212.8	-4.83E-04
-2162.7	-4.78E-04
-2112.7	-4.73E-04
-2062.6	-4.68E-04
-2012.5	-4.63E-04
-1962.5	-4.57E-04
-1912.5	-4.52E-04
-1862.6	-4.47E-04
-1812.6	-4.41E-04
-1762.6	-4.36E-04
-1712.5	-4.30E-04
-1662.5	-4.25E-04
-1612.6	-4.19E-04
-1562.3	-4.13E-04
-1512.3	-4.08E-04
-1462.3	-4.02E-04
-1412.2	-3.96E-04
-1362.3	-3.90E-04
-1312.3	-3.84E-04
-1262.3	-3.78E-04
-1212.3	-3.72E-04
-1162.3	-3.66E-04
-1112.3	-3.59E-04
-1062.3	-3.53E-04
-1012.3	-3.46E-04
-962.2	-3.39E-04
-912.1	-3.32E-04
-862.2	-3.25E-04
-812.2	-3.17E-04
-762.1	-3.10E-04
-712.1	-3.02E-04
-662.1	-2.94E-04
-612.2	-2.86E-04
-562.2	-2.77E-04
-512.1	-2.68E-04
-462.1	-2.58E-04
-412.2	-2.48E-04
-362.4	-2.37E-04
-311.9	-2.26E-04
-262	-2.13E-04
-212	-1.99E-04
-162	-1.84E-04
-112	-1.67E-04
-62	-1.46E-04
-12.1	-1.20E-04
37.9	-8.77E-05
87.9	-4.66E-05
137.9	-9.04E-07
187.9	4.50E-05
237.9	8.72E-05
287.9	1.24E-04
338.1	1.56E-04
388.1	1.84E-04
438.1	2.07E-04
488.2	2.27E-04
538.2	2.44E-04
588.2	2.59E-04
638.1	2.73E-04
688	2.85E-04
738	2.96E-04
788	3.06E-04
838	3.15E-04
888	3.24E-04
938.1	3.32E-04
988.2	3.40E-04
1038.1	3.48E-04
1088.2	3.55E-04
1138.2	3.62E-04
1188.2	3.69E-04
1238.1	3.76E-04
1288.1	3.82E-04
1338.1	3.89E-04
1388.1	3.95E-04
1438.1	4.01E-04
1488.1	4.07E-04
1538.2	4.13E-04
1588.4	4.19E-04
1638.3	4.25E-04
1688.3	4.30E-04
1738.4	4.36E-04
1788.4	4.41E-04
1838.3	4.47E-04
1888.3	4.52E-04
1938.2	4.58E-04
1988.2	4.63E-04
2038.4	4.68E-04
2088.5	4.74E-04
2138.4	4.79E-04
2188.5	4.84E-04
2238.5	4.89E-04
2288.5	4.95E-04
2338.6	5.00E-04
2388.6	5.05E-04
2438.5	5.10E-04
2488.5	5.15E-04
2538.6	5.20E-04
2588.5	5.25E-04
2638.5	5.30E-04
2688.5	5.35E-04
2738.4	5.40E-04
2788.4	5.45E-04
2838.6	5.50E-04
2888.6	5.55E-04
2938.5	5.60E-04
2988.6	5.64E-04
3038.6	5.69E-04
3088.6	5.74E-04
3138.5	5.79E-04
3188.5	5.84E-04
3238.4	5.89E-04
3288.5	5.94E-04
3338.5	5.99E-04
3388.4	6.04E-04
3438.5	6.08E-04
3488.6	6.13E-04
3538.5	6.18E-04
3588.6	6.23E-04
3638.7	6.27E-04
3688.6	6.32E-04
3738.6	6.37E-04
3788.6	6.42E-04
3838.5	6.46E-04
3888.5	6.51E-04
3938.5	6.56E-04
3988.5	6.61E-04
4038.5	6.65E-04
4088.7	6.70E-04
4138.8	6.75E-04
4188.8	6.79E-04
4238.8	6.84E-04
4288.8	6.89E-04
4338.8	6.93E-04
4388.7	6.98E-04
4438.7	7.03E-04
4488.6	7.08E-04
4538.6	7.12E-04
4588.7	7.17E-04
4638.7	7.21E-04
4688.8	7.26E-04
4738.8	7.31E-04
4788.8	7.36E-04
4838.8	7.40E-04
4888.8	7.45E-04
4938.8	7.49E-04
5000.9	7.55E-04
