# Depth is in meters, chi is micro m^3/kg, sIRM is milli Am^2/kg
Depth	chi	sIRM
0.76	0.559	37.419
0.86	0.541	46.962
1.03	0.510	39.167
1.25	0.460	37.402
1.41	0.570	34.633
1.53	0.520	35.635
1.85	0.509	34.373
1.86	0.280	36.129
1.96	0.273	32.106
2.44	0.271	32.845
2.56	0.293	31.84
2.78	0.268	32.583
2.94	0.268	31.315
3.33	0.283	32.058
3.93	0.308	33.554
4.15	0.299	36.052
4.54	0.296	35.287
4.87	0.310	34.028
5.2	0.287	34.274
5.48	0.291	33.003
5.81	0.287	34.748
6.19	0.260	34.491
6.36	0.257	31.21
6.74	0.266	28.934
6.96	0.255	29.177
7.18	0.252	28.915
7.46	0.275	29.908
7.73	0.270	28.892
8.01	0.245	28.629
8.45	0.281	33.903
9	0.260	32.644
9.22	0.278	29.372
9.28	0.242	31.882
9.67	0.276	31.873
9.77	0.291	28.09
10.22	0.255	29.583
10.33	0.257	29.323
10.6	0.239	30.577
10.88	0.271	28.558
11.21	0.257	30.311
11.43	0.263	28.044
11.76	0.272	30.797
12.14	0.256	28.027
12.42	0.292	26.514
12.86	0.254	32.033
13.3	0.258	28.264
13.36	0.276	28.753
13.8	0.305	28.993
14.02	0.359	29.744
14.36	0.361	30.238
14.52	0.276	29.729
14.58	0.280	31.234
14.85	0.334	30.723
15.18	0.262	27.953
15.84	0.264	30.198
16.11	0.257	30.692
16.44	0.270	29.427
16.66	0.252	32.431
16.99	0.270	27.403
17.44	0.265	29.147
17.82	0.251	27.634
18.15	0.260	32.146
18.76	0.336	28.622
19.04	0.332	28.1
19.48	0.347	30.607
19.7	0.365	31.846
20.09	0.365	33.342
20.36	0.387	31.075
20.91	0.329	29.048
21.13	0.274	27.283
21.35	0.256	26.273
21.57	0.258	27.269
22.17	0.227	24.739
22.45	0.229	25.231
22.61	0.314	27.738
22.73	0.280	25.979
23.22	0.231	26.213
23.5	0.204	27.706
23.61	0.228	25.188
23.94	0.248	28.695
24.27	0.250	24.671
24.6	0.282	25.668
25.1	0.329	29.428
25.27	0.342	26.916
25.44	0.371	31.17
25.6	0.409	37.198
25.78	0.501	28.404
25.84	0.638	39.457
25.9	0.704	41.464
26.07	0.755	42.212
26.39	0.575	37.435
26.56	0.634	29.643
26.66	0.674	34.411
26.97	0.503	26.867
27.3	0.398	26.356
27.69	0.316	33.883
27.83	0.222	31.108
28.4	0.247	30.594
28.62	0.299	32.347
29.06	0.262	30.563
29.56	0.264	32.57
30.06	0.250	29.786
30.77	0.257	31.776
