tab 	specimens
dir_dec	dir_inc	dir_tilt_correction	method_code	specimen
333.716245708	66.9521600617	g	SO-SUN	sr01e2
325.168642283	65.8729413603	g	SO-SUN	sr01g2
141.206065489	-55.7416471394	g	SO-CMD-NORTH	sr03f1
147.045524237	-52.824728459	g	SO-CMD-NORTH	sr03h2
162.029227284	-55.8953512281	g	SO-CMD-NORTH	sr03k1
34.9289711845	57.7389187478	g	SO-CMD-NORTH	sr04e1
24.4803413005	59.5003401422	g	SO-CMD-NORTH	sr04f2
20.2242121243	80.2492720019	g	SO-SUN	sr09b2
6.30321524453	74.9763160412	g	SO-SUN	sr09e2
13.1854945168	75.60249998	g	SO-SUN	sr09f2
2.07864840771	66.0601625874	g	SO-CMD-NORTH	sr11a1
341.172571124	53.5177593222	g	SO-CMD-NORTH	sr11b1
359.988670756	66.4357454767	g	SO-CMD-NORTH	sr11c1
259.333216177	86.6965418959	g	SO-CMD-NORTH	sr11e2
286.830581696	62.4233828686	g	SO-CMD-NORTH	sr11g2
348.80493046	16.4420545615	g	SO-CMD-NORTH	sr11i1
57.9614633502	-15.2343952555	g	SO-CMD-NORTH	sr11j3
16.0037447666	53.6000733681	g	SO-CMD-NORTH	sr12c1
12.1412816805	38.1957462342	g	SO-CMD-NORTH	sr12h1
357.436549365	66.6992437518	g	SO-SUN	sr16e1
334.877444038	64.8330989022	g	SO-SUN	sr16g2
341.199260955	-26.9876162129	g	SO-SUN	sr19a3
275.910995134	-74.5632391238	g	SO-SUN	sr19b3
174.183915564	-76.4674810871	g	SO-CMD-NORTH	sr19h2
342.261140901	60.0042117587	g	SO-SUN	sr20d2
336.761368092	55.5714254311	g	SO-SUN	sr20e1
332.548948683	33.2049601833	g	SO-SUN	sr20i1
173.51069287	-67.728114985	g	SO-SUN	sr21d1
110.683450687	22.57573077	g	SO-SUN	sr22b2
3.82009529288	43.5821835645	g	SO-SUN	sr22d3
0.640391056571	32.2085803351	g	SO-CMD-NORTH	sr22e1
359.806444352	27.7783718132	g	SO-CMD-NORTH	sr22f1
1.20382611014	23.4754844775	g	SO-CMD-NORTH	sr23a1
268.680009299	77.5699426854	g	SO-CMD-NORTH	sr23b2
346.773576282	46.5444625581	g	SO-CMD-NORTH	sr23d3
221.667793316	-17.3373497682	g	SO-CMD-NORTH	sr23g1
153.519594745	-38.1325408827	g	SO-CMD-NORTH	sr24a1
157.664161125	-52.2693567151	g	SO-SUN	sr24b3
144.646986721	-43.4422503573	g	SO-SUN	sr24c2
174.816008516	-61.0945005058	g	SO-CMD-NORTH	sr24d1
228.616485219	-36.227193958	g	SO-SUN	sr24j2
323.30583357	48.8543465785	g	SO-CMD-NORTH	sr25b2
1.91416864955	63.3214011583	g	SO-CMD-NORTH	sr25d2
355.873551909	62.1726456039	g	SO-CMD-NORTH	sr25e2
2.58360000267	63.0957401054	g	SO-CMD-NORTH	sr25f3
317.299685335	53.18918609	g	SO-CMD-NORTH	sr25h1
354.808248711	25.8919042279	g	SO-SUN	sr26a3
123.165315145	25.6713086607	g	SO-SUN	sr26c3
289.679883475	49.6851689942	g	SO-SUN	sr26e3
275.816506079	37.8788032933	g	SO-SUN	sr26f1
349.015884165	56.3198619612	g	SO-SUN	sr26i1
314.425307764	72.183807411	g	SO-CMD-NORTH	sr27a2
225.860910262	67.192922282	g	SO-CMD-NORTH	sr27c1
226.419747125	64.661295737	g	SO-CMD-NORTH	sr27e2
184.473555326	-46.4376509182	g	SO-CMD-NORTH	sr28a1
194.661862853	-51.8610584389	g	SO-CMD-NORTH	sr28g2
14.1451056655	64.908039519	g	SO-CMD-NORTH	sr29g2
3.90175483006	66.0560076752	g	SO-CMD-NORTH	sr30b2
24.5140575908	53.9292380277	g	SO-CMD-NORTH	sr31h2
252.868186597	-46.6019554864	g	SO-SUN	sr34f2
205.236963628	-58.5001755057	g	SO-SUN	sr34i3
187.774709411	-69.8172021273	g	SO-SUN	sr36a2
