tab 	locations																																												
age_high	age_low	age_unit	citations	conglomerate_test	contact_test	continent_ocean	country	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_samples	dir_n_sites	dir_polarity	dir_tilt_correction	external_database_ids	fold_test	fold_test_significance	geologic_classes	geological_province_sections	lat_n	lat_s	lithologies	location	location_alternatives	location_type	lon_e	lon_w	method_codes	pole_antipodal_angle	pole_comp_name	pole_dm	pole_dp	pole_lat	pole_lon	pole_reversed_perc	region	result_name	result_type	reversal_test	rock_magnetic_test	terranes	village_city
161	100	Ma	KATINAS & NAWROCKI (2004)	ND	ND	Europe	Lithuania	"Fransian - Famennian. Thermal, characteristic component, 500-610C. IRM, 3-axis Jrs-T (HEM, MAGN). Late Jurassic - Early Cretaceous remagnetisation suggested."	5.3	11	54	61.8	nan	28	13	nan	0	nan	ND	nan	Sedimentary	Skaistgirys Carbonates	56.31	56.31	Dolostone	Skaistgirys Carbonates	nan	Outcrop	23.39	23.39	DE-DI:LT-T-Z:LP-DC4	nan	nan	7	5	67	179	0	Northern Lithuania	9230	a	ND	ND	nan	nan
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	"Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component."	2.3	317	31.6	11.8	nan	343	343	nan	100	nan	ND	nan	Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section	nan	Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9	nan	2.9	1.6	44.2	257.3	36	Southern Alps	8559	a	Ra	ND	nan	nan
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	"Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component."	2.5	304.3	54.9	10.6	nan	nan	343	nan	0	nan	ND	nan	Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section	nan	Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9	nan	2.9	1.6	44.2	257.3	36	Southern Alps	8559	a	Ra	ND	nan	nan
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	"Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component."	2.7	316.7	32.7	13.3	nan	nan	219	n	100	nan	ND	nan	Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section	nan	Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9	nan	2.9	1.6	44.2	257.3	36	Southern Alps	8559	a	Ra	ND	nan	nan
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	"Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component."	4.3	137.6	-29.7	9.7	nan	nan	124	r	100	nan	ND	nan	Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section	nan	Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9	nan	2.9	1.6	44.2	257.3	36	Southern Alps	8559	a	Ra	ND	nan	nan
60	20	Ma	10.1016/0040-1951(90)90149-3	ND	ND	Europe	Italy	"Neocomian to Aptian age?. AF to 100mT, thermal to 300C, characteristic component. Secondary magnetization mid-Tertiary?."	4.9	132	-61.4	50.2	nan	36	18	nan	100	nan	ND	nan	Sedimentary	Monte Raparo	40.2	40.2	Limestone	Monte Raparo Limestones	nan	Outcrop	16	16	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	7.5	5.8	54	306	100	Southern Apennines	6478	a	ND	ND	nan	nan
60	20	Ma	10.1016/0040-1951(90)90149-3	ND	ND	Europe	Italy	"Neocomian to Aptian age?. AF to 100mT, thermal to 300C, characteristic component. Secondary magnetization mid-Tertiary?."	5.5	77.5	-85.3	41	nan	nan	18	nan	0	nan	ND	nan	Sedimentary	Monte Raparo	40.2	40.2	Limestone	Monte Raparo Limestones	nan	Outcrop	16	16	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	7.5	5.8	54	306	100	Southern Apennines	6478	a	ND	ND	nan	nan
125	100	Ma	10.1016/S0012-821X(96)00239-7	ND	ND	Europe	Portugal	"Aptian to Albian. AF to 80mT, thermal to 500C, characteristic component. IRM (no sat. 1. 2T). Data incl. in RESULTNOS 9235, 9236."	6.5	345.7	47.8	202	12.6	35	4	nan	100	nan	F+	99	Sedimentary	nan	37	37	Limestone:Sandstone	Algarve Basin Aptian-Albian Sediments	nan	Outcrop	352	352	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	8.5	5.5	75.5	231.7	200	Algarve Basin	8191	a	Ro	M	Iberia	nan
125	100	Ma	10.1016/S0012-821X(96)00239-7	ND	ND	Europe	Portugal	"Aptian to Albian. AF to 80mT, thermal to 500C, characteristic component. IRM (no sat. 1. 2T). Data incl. in RESULTNOS 9235, 9236."	23.6	346.5	41.9	16	nan	nan	4	nan	0	nan	F+	99	Sedimentary	nan	37	37	Limestone:Sandstone	Algarve Basin Aptian-Albian Sediments	nan	Outcrop	352	352	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	8.5	5.5	75.5	231.7	200	Algarve Basin	8191	a	Ro	M	Iberia	nan
125	100	Ma	10.1029/2000JB900136	ND	ND	Europe	Spain	"Aptian to Albian. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST."	4.8	347.7	53.1	74.4	nan	97	13	nan	100	nan	F+	nan	Sedimentary	Organya Basin	42.2	42.2	marl:Limestone	Organya Aptian-Albian Sediments	nan	Outcrop	1.3	1.3	DE-DI:LT-T-Z:LP-DC4	nan	nan	6.7	4.6	77.1	233.9	0	Northern Spain	8568	a	ND	M	Iberia	nan
