tab	measurements
experiment	specimen	measurement	treat_dc_field	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	meas_field_dc	magn_moment	measurement_standard	measurement_temp	sample	scientists	site
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	1	1.196	62.98	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	2	1.179	62.68	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	3	1.162	62.36	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	4	1.145	62.02	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	5	1.127	61.71	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	6	1.11	61.38	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	7	1.093	61.06	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	8	1.076	60.73	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	9	1.059	60.41	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	10	1.041	60.07	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	11	1.024	59.73	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	12	1.007	59.4	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	13	0.9899	59.05	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	14	0.9728	58.7	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	15	0.9555	58.36	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	16	0.9384	58.02	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	17	0.9213	57.67	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	18	0.9041	57.31	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	19	0.887	56.96	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	20	0.8699	56.61	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	21	0.8526	56.23	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	22	0.8355	55.88	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	23	0.8184	55.51	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	24	0.8012	55.13	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	25	0.7841	54.76	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	26	0.767	54.38	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	27	0.7497	53.99	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	28	0.7326	53.61	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	29	0.7155	53.2	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	30	0.6984	52.8	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	31	0.6812	52.39	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	32	0.6641	51.97	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	33	0.647	51.55	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	34	0.6299	51.13	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	35	0.6128	50.69	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	36	0.5955	50.23	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	37	0.5784	49.8	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	38	0.5613	49.33	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	39	0.5442	48.86	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	40	0.527	48.36	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	41	0.5099	47.87	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	42	0.4928	47.35	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	43	0.4757	46.83	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	44	0.4586	46.3	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	45	0.4413	45.73	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	46	0.4242	45.16	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	47	0.4071	44.55	u	273	IS06a	Erez ben Yosef	IS06
