tab 	magic_measurements
er_citation_names	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.196e+00	6.298e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.179e+00	6.268e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.162e+00	6.236e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.145e+00	6.202e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.127e+00	6.171e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.110e+00	6.138e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.093e+00	6.106e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.076e+00	6.073e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.059e+00	6.041e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.041e+00	6.007e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.024e+00	5.973e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.007e+00	5.940e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.899e-01	5.905e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.728e-01	5.870e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.555e-01	5.836e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.384e-01	5.802e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.213e-01	5.767e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.041e-01	5.731e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	8.870e-01	5.696e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	8.699e-01	5.661e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	8.526e-01	5.623e+01	1	u	273		273
