tab 	measurements
citations	experiment	instrument_codes	magn_moment	meas_field_dc	measurement_standard	measurement_temp	method_codes	number	quality	sample	scientists	site	specimen	treat_dc_field	treat_temp
This study	IS06a-1:LP-HYS	SIO-Maud	6.298e+01	1.196e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.268e+01	1.179e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.236e+01	1.162e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.202e+01	1.145e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.171e+01	1.127e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.138e+01	1.110e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.106e+01	1.093e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.073e+01	1.076e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.041e+01	1.059e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	6.007e+01	1.041e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	5.973e+01	1.024e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	5.940e+01	1.007e+00	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	5.905e+01	9.899e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	5.870e+01	9.728e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	5.836e+01	9.555e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	5.802e+01	9.384e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
