tab 	sites																						
citations	specimnes	n_planes	site_alpha95	dir_inc	method_codes	location	dir_dec	dir_n_specimens_lines	lon	vgp_lon	dir_tilt_correction	criteria	age	age_unit	dir_k	site_n	age_sigma	site	vgp_lat	description	dir_polarity	dir_r	lat
10.1016/S0012-821X(98)00117-4	az01a1:az01c1:az01e1:az01g1:az01k1:az01m1	0	4.2	29.4	DE-FM	Azores	13.2	6	334.2	122.8	0	DE-SPEC	0.91	Ka	260.6	6		az01	65	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	5.9808	37.8
10.1016/S0012-821X(98)00117-4	az02b1:az02d5:az02g1:az02h1:az02i1:az02l1	0	4.5	63.6	DE-FM	Azores	324.6	6	334.2	271.3	0	DE-SPEC	21	Ka	220.1	6		az02	62.7	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	5.9773	37.8
10.1016/S0012-821X(98)00117-4	az03a1:az03e2:az03f1:az03h1:az03i1	0	3.4	49	DE-FM	Azores	353.3	5	334.2	190.9	0	DE-SPEC	20	Ka	508.7	5	10	az03	80.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	4.9921	37.9
10.1016/S0012-821X(98)00117-4	az04a2:az04c2:az04g1:az04l2:az04m1	0	4.3	60.7	DE-FM	Azores	5.6	5	334.1	20.6	0	DE-SPEC	74	Ka	323.4	5	6	az04	84.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	4.9876	37.9
10.1016/S0012-821X(98)00117-4	az07b1:az07d1:az07f2:az07g1:az07j2:az07n2:az07o2	0	8.7	50.7	DE-FM	Azores	26.7	7	334.2	72.6	0	DE-SPEC	210	Ka	49.1	7	8	az07	67.2	Recalculated from original measurements; supercedes published results.	n	6.8778	37.9
10.1016/S0012-821X(98)00117-4	az08c1:az08f1:az08h2:az08j1:az08k1	0	2.6	51.7	DE-FM	Azores	8.7	5	334.8	100	0	DE-SPEC	181	Ka	892.7	5		az08	81	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	4.9955	37.8
10.1016/S0012-821X(98)00117-4	az09a1:az09a2:az09b2:az09c2:az09h1:az09i2:az09j1:az09k1:az09l2:az09m2:az09n1	0	2.1	17.7	DE-FM	Azores	9	11	334.5	136.4	0	DE-SPEC	60	Ka	476.5	11	40	az09	60.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	10.979	37.7
10.1016/S0012-821X(98)00117-4	az10b1:az10c1:az10d1:az10f1:az10i1:az10k2	0	4.2	41.7	DE-FM	Azores	344.4	6	334.7	203.3	0	DE-SPEC	93	Ka	251.9	6	9	az10	70.9	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	5.9802	37.7
10.1016/S0012-821X(98)00117-4	az11b2:az11c1:az11c2:az11d1:az11d2:az11e2:az11f1:az11h2:az11i1:az11i2:az11k1:az11l1:az11m1	0	2.8	58.7	DE-FM	Azores	10.8	13	334.5	50.4	0	DE-SPEC	103	Ka	225.4	13		az11	81.4	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	12.9468	37.8
10.1016/S0012-821X(98)00117-4	az12a1:az12c1:az12d1:az12d2:az12e1:az12e2:az12g1:az12g2:az12i1:az12i2:az12j2:az12k1:az12k2:az12l2	0	2.6	59.5	DE-FM	Azores	355.3	14	334.6	280.4	0	DE-SPEC	2.50E+00	Ma	243.9	14	2.50E+00	az12	85.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	13.9467	37.8
10.1016/S0012-821X(98)00117-4	az13a2:az13b2:az13c2:az13d2:az13e1:az13e2:az13f1:az13g2:az13i1:az13j2:az13a1	1	1.9	-41.1	DE-FM-LP	Azores	202.1	10	334.9	275.5	0	DE-SPEC	835	Ka	603.5	11	11	az13	-66.4	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	10.9843	37.8
10.1016/S0012-821X(98)00117-4	az14b2:az14d2:az14e2:az14f2:az14h2:az14i2:az14j2:az14k2:az14l1:az14m2	0	2.9	-21.7	DE-FM	Azores	138.1	10	334.9	40.8	0	DE-SPEC	846	Ka	288.3	10	11	az14	-44.1	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	9.9688	37.8
10.1016/S0012-821X(98)00117-4	az15a1:az15a2:az15c2:az15d2:az15e2:az15f2:az15g2:az15h2:az15j2:az15k2:az15m1:az15m2	0	1.3	67.1	DE-FM	Azores	11.2	12	334.9	5	0	DE-SPEC	2.50E+00	Ma	1097.9	12	2.50E+00	az15	75.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	n	11.99	37.8
10.1016/S0012-821X(98)00117-4	az16a2:az16b2:az16e2:az16f2:az16g2:az16h2:az16k2:az16m1:az16m2:az16c2:az16m3	2	3.4	-38.6	DE-FM-LP	Azores	193.1	9	334.9	296	0	DE-SPEC	843	Ka	187.2	11	9	az16	-70.4	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	10.9519	37.8
10.1016/S0012-821X(98)00117-4	az17a1:az17a2:az17b2:az17c2:az17d2:az17e2:az17g2:az17i2:az17k3:az17n1:az17n2:az17o3	0	2.7	-45.8	DE-FM	Azores	170.5	12	334.9	14.7	0	DE-SPEC	819	Ka	254.8	12	17	az17	-76.7	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	11.9568	37.8
10.1016/S0012-821X(98)00117-4	az18a2:az18c1:az18c2:az18d2:az18e2:az18f1:az18f2:az18f3:az18g2:az18h2:az18i2:az18k2:az18l2	0	2.2	-42.3	DE-FM	Azores	181.8	13	334.9	327.8	0	DE-SPEC	849	Ka	368.7	13	14	az18	-76.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	r	12.9675	37.8
