tab	sites
site	location	age	age_unit	dir_dec	dir_inc	core_depth	lat	lon	geologic_classes	geologic_types	lithologies	citations	vgp_lat	vgp_lon	paleolatitude	vgp_lat_rev	vgp_lon_rev
15-1-013	DSDP Site 522	22.75	Ma	268.5	-41.2	55.23	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	9.246197464367386	243.09836968613877	-23.63980836359519	-9.246197464367386	63.09836968613877
15-1-022	DSDP Site 522	22.7786	Ma	181.0	68.6	55.31	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	-65.07765929208162	353.53598329503393	51.9109557632007	65.07765929208162	173.53598329503393
15-1-024	DSDP Site 522	22.7893	Ma	124.5	63.7	55.34	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	-42.66083456074758	46.98332435457036	45.33246611955771	42.66083456074758	226.98332435457036
15-1-028	DSDP Site 522	22.8036	Ma	123.2	59.9	55.38	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	-41.75619013248048	53.14418932446023	40.77925684375496	41.75619013248048	233.14418932446023
15-1-031	DSDP Site 522	22.8143	Ma	155.1	52.8	55.41	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	-67.61594419365669	62.41401093497501	33.37392213052534	67.61594419365669	242.414010934975
15-1-035	DSDP Site 522	22.825	Ma	144.2	72.3	55.44	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	-50.48813150711847	24.64740458430572	57.45066633276935	50.48813150711847	204.64740458430572
15-1-039	DSDP Site 522	22.8393	Ma	127.5	65.9	55.48	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	-44.427298257837826	42.792302901014864	48.18280896838938	44.427298257837826	222.79230290101486
15-1-041	DSDP Site 522	22.85	Ma	355.0	-46.1	55.51	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	85.53108053690426	258.0116071271856	-27.455345188619713	-85.53108053690426	78.01160712718558
15-1-045	DSDP Site 522	22.8598	Ma	2.4	-11.8	55.54	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	68.83950511498782	1.6253822715379442	-5.963230579838318	-68.83950511498782	181.62538227153794
15-1-047	DSDP Site 522	22.8663	Ma	357.0	-47.4	55.56	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	86.93380801198632	234.2692363044781	-28.534955960346373	-86.93380801198632	54.26923630447811
15-1-051	DSDP Site 522	22.8792	Ma	348.7	-30.9	55.6	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	75.28716973987733	307.3422438003536	-16.65948777070727	-75.28716973987733	127.34224380035357
15-1-054	DSDP Site 522	22.889	Ma	14.2	-49.6	55.63	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	77.09228031100395	103.76569488791824	-30.43415109961643	-77.09228031100395	283.76569488791824
15-1-057	DSDP Site 522	22.8988	Ma	0.9	-50.4	55.66	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	85.77754519690309	164.4802591321502	-31.148604940704953	-85.77754519690309	344.4802591321502
15-1-060	DSDP Site 522	22.9118	Ma	6.4	-46.1	55.7	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	84.29160569433442	91.03524714523047	-27.455345188619713	-84.29160569433442	271.03524714523047
15-1-063	DSDP Site 522	22.9215	Ma	347.6	-41.3	55.73	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	78.32910785419931	278.6165883472204	-23.71399816397893	-78.32910785419931	98.61658834722039
15-1-066	DSDP Site 522	22.9312	Ma	359.7	-51.9	55.76	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	84.46929067029082	177.62541607151206	-32.524583901287436	-84.46929067029082	357.62541607151206
15-1-069	DSDP Site 522	22.9377	Ma	359.1	-52.0	55.78	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	84.32801421573349	182.69281277132848	-32.61805682214758	-84.32801421573349	2.6928127713284766
15-1-072	DSDP Site 522	22.9475	Ma	347.5	-39.3	55.81	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	77.69531644896969	284.9558878397664	-22.256598955513255	-77.69531644896969	104.95588783976638
15-1-075	DSDP Site 522	22.9605	Ma	347.3	-37.0	55.85	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	76.76936521876816	290.9887288396402	-20.64525640144938	-76.76936521876816	110.9887288396402
15-1-079	DSDP Site 522	22.9703	Ma	359.5	-50.5	55.88	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	85.73873019618861	180.76306808497736	-31.23884315212125	-85.73873019618861	0.7630680849773626
15-1-082	DSDP Site 522	22.98	Ma	13.7	-50.5	55.91	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	77.3144841993479	107.76031202412622	-31.23884315212125	-77.3144841993479	287.7603120241262
15-1-085	DSDP Site 522	22.9897	Ma	1.8	-45.7	55.94	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	88.39192647775884	90.01735257919955	-27.129196550530896	-88.39192647775884	270.01735257919955
15-1-088	DSDP Site 522	22.9995	Ma	9.7	-44.5	55.97	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	81.28776993451112	81.70334264422564	-26.167131012142573	-81.28776993451112	261.70334264422564
15-1-091	DSDP Site 522	23.0125	Ma	4.8	-45.0	56.01	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	85.69318175309931	80.28948681396207	-26.56505117707799	-85.69318175309931	260.28948681396207
15-1-094	DSDP Site 522	23.0223	Ma	11.9	-48.8	56.04	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	79.18408728176415	102.41012468380814	-29.732648959473135	-79.18408728176415	282.41012468380814
15-1-097	DSDP Site 522	23.031999999999996	Ma	357.1	-30.3	56.07	-27	355	Sedimentary	Sediment Layer	Not Specified	This study	78.95462242651114	340.3166953752684	-16.287117369641486	-78.95462242651114	160.3166953752684
