tab	er_ages
er_citation_names	er_location_name	er_site_name	er_sample_name	age	age_range_low	age_range_high	age_unit	age_description
This study	Agrokipia;	ak2l0201	ak2l0201	-900	-1100	-700	Years Cal AD (+/-)	archaeological estimate?
This study	Agrokipia;	ak2l0202	ak2l0202	-900	-1100	-700	Years Cal AD (+/-)	archaeological estimate?
This study	Mitsero Kokkinoyia	mk100401	mk100401	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100402	mk100402	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100501	mk100501	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100502	mk100502	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100601	mk100601	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100701	mk100701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100702	mk100702	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100703	mk100703	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100801	mk100801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk100802	mk100802	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101001	mk101001	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101301	mk101301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101401	mk101401	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101402	mk101402	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101501	mk101501	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101601	mk101601	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101602	mk101602	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101701	mk101701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101801	mk101801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk101901	mk101901	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102101	mk102101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102201	mk102201	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102301	mk102301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102401	mk102401	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102501	mk102501	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102502	mk102502	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102503	mk102503	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102601	mk102601	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102701	mk102701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102801	mk102801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk102901	mk102901	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103001	mk103001	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103002	mk103002	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103101	mk103101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103301	mk103301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103302	mk103302	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103501	mk103501	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk103502	mk103502	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk104101	mk104101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
