tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	169	0169x171111	0169x	0169x1711112 : 0169x1711113	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	148	2	Ma	1.214e-05	2	5.657e-07	4.66
This study	169	0169x171121	0169x	0169x1711211 : 0169x1711214	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	148	2	Ma	8.895e-06	2	3.74e-06	42.04
This study	205	0205x311p01	0205x	0205x311p011 : 0205x311p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.5	Ma	1.661e-05	2	2.227e-06	13.41
This study	205	0205x311p02	0205x	0205x311p021 : 0205x311p022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	30.7	0.5	Ma	1.551e-05	2	2.942e-06	18.97
This study	238	0238x551xxx	0238x	0238x551xxx1 : 0238x551xxx3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	4.304e-05	2	2.496e-06	5.799
This study	238	0238x552xxx	0238x	0238x552xxx1 : 0238x552xxx2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	2.223e-05	2	7.99e-07	3.594
This study	238	0238x562049	0238x	0238x5620492 : 0238x5620493	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	2.066e-05	2	2.305e-06	11.16
This study	238	0238x563026	0238x	0238x5630261	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	9.052e-06	1	0	
This study	238	0238x572106	0238x	0238x5721061 : 0238x5721062 : 0238x5721063	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	9.093e-06	3	1.957e-07	2.152
This study	238	0238x582104	0238x	0238x5821041 : 0238x5821044 : 0238x5821045 : 0238x5821046	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	7.92e-06	4	5.825e-07	7.355
This study	238	0238x592077	0238x	0238x5920771	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	1.042e-05	1	0	
This study	238	0238x601104	0238x	0238x6011041 : 0238x6011042 : 0238x6011043 : 0238x6011044	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	9.245e-06	4	1.123e-06	12.14
This study	238	0238x602131	0238x	0238x6021311 : 0238x6021312	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	1.008e-05	2	7.948e-07	7.886
This study	238	0238x604057	0238x	0238x6040573 : 0238x6040574 : 0238x6040575	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	32	2	Ma	8.17e-06	3	9.953e-07	12.18
This study	322	0322x12c000	0322x	0322x12c0001 : 0322x12c0002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	48	2	Ma	2.458e-05	2	5.02e-07	2.043
This study	322	0322x13c000	0322x	0322x13c0001 : 0322x13c0002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	48	2	Ma	2.988e-05	2	4.511e-06	15.1
This study	332	0332a081p07	0332a	0332a081p072	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.6	0.1	Ma	3.444e-05	1	0	
This study	332	0332a181000	0332a	0332a1810002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.6	0.1	Ma	8.13e-06	1	0	
This study	332	0332a221p02	0332a	0332a221p021	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.6	0.1	Ma	1.677e-05	1	0	
This study	332	0332a261p05	0332a	0332a261p052	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.6	0.1	Ma	1.535e-05	1	0	
This study	332	0332b481p06	0332b	0332b481p062	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.6	0.1	Ma	2.194e-05	1	0	
This study	334	0334x171p01	0334x	0334x171p011 : 0334x171p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	9.8	0.5	Ma	2.865e-05	2	1.682e-05	58.73
This study	335	0335x052129	0335x	0335x0521291 : 0335x0521293	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	3.219e-05	2	4.525e-07	1.406
This study	335	0335x063021	0335x	0335x0630212 : 0335x0630214	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	1.402e-05	2	5.148e-06	36.72
This study	335	0335x063060	0335x	0335x0630601 : 0335x0630602	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	13.8	2	Ma	5.66e-06	2	1.507e-06	26.62
