tab 	pmag_sites
er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	site_description	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc
This study	169	0169x171111 : 0169x171121	0169x	0169x1711112 : 0169x1711113 : 0169x1711211 : 0169x1711214	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	148	2	Ma	1.052e-05	2	2.295e-06	21.82
This study	205	0205x311p01 : 0205x311p02	0205x	0205x311p011 : 0205x311p012 : 0205x311p021 : 0205x311p022	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	30.7	0.5	Ma	1.606e-05	2	7.778e-07	4.843
This study	238	0238x551xxx : 0238x552xxx : 0238x562049 : 0238x563026 : 0238x572106 : 0238x582104 : 0238x592077 : 0238x601104 : 0238x602131 : 0238x604057	0238x	0238x551xxx1 : 0238x551xxx3 : 0238x552xxx1 : 0238x552xxx2 : 0238x5620492 : 0238x5620493 : 0238x5630261 : 0238x5721061 : 0238x5721062 : 0238x5721063 : 0238x5821041 : 0238x5821044 : 0238x5821045 : 0238x5821046 : 0238x5920771 : 0238x6011041 : 0238x6011042 : 0238x6011043 : 0238x6011044 : 0238x6021311 : 0238x6021312 : 0238x6040573 : 0238x6040574 : 0238x6040575	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	32	2	Ma	1.499e-05	10	1.114e-05	74.28
This study	322	0322x12c000 : 0322x13c000	0322x	0322x12c0001 : 0322x12c0002 : 0322x13c0001 : 0322x13c0002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	48	2	Ma	2.723e-05	2	3.748e-06	13.76
This study	332	0332a081p07 : 0332a181000 : 0332a221p02 : 0332a261p05	0332a	0332a081p072 : 0332a1810002 : 0332a221p021 : 0332a261p052	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	3.6	0.1	Ma	1.867e-05	4	1.117e-05	59.83
This study	332	0332b481p06	0332b	0332b481p062	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	3.6	0.1	Ma	2.194e-05	1	0	0
This study	334	0334x171p01	0334x	0334x171p011 : 0334x171p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	9.8	0.5	Ma	2.865e-05	1	0	0
This study	335	0335x052129 : 0335x063021 : 0335x063060 : 0335x064091 : 0335x072002 : 0335x091058 : 0335x094127 : 0335x094129 : 0335x101145 : 0335x102095 : 0335x132054 : 0335x133006	0335x	0335x0521291 : 0335x0521293 : 0335x0630212 : 0335x0630214 : 0335x0630601 : 0335x0630602 : 0335x0640911 : 0335x0640915 : 0335x0720021 : 0335x0910584 : 0335x0910585 : 0335x0941271 : 0335x0941272 : 0335x0941273 : 0335x0941291 : 0335x1011452 : 0335x1011453 : 0335x1020952 : 0335x1320543 : 0335x1330061 : 0335x1330062 : 0335x1330063 : 0335x1330064	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	13.8	2	Ma	1.815e-05	12	6.997e-06	38.55
This study	395	0395a301p01 : 0395a332p14 : 0395a411p02 : 0395a541p6b : 0395a601p08 : 0395a661000	0395a	0395a301p012 : 0395a332p141 : 0395a411p021 : 0395a541p6b1 : 0395a601p081 : 0395a6610001	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	8	1	Ma	1.837e-05	6	9.831e-06	53.53
This study	395	0395x111p11	0395x	0395x111p112	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	8	1	Ma	5.633e-06	1	0	0
This study	396	0396b141028 : 0396b141p1b : 0396b143031 : 0396b151039 : 0396b261p01 : 0396b261p1b	0396b	0396b1410281 : 0396b1410282 : 0396b1410283 : 0396b1410284 : 0396b141p1b1 : 0396b1430313 : 0396b1430314 : 0396b1430315 : 0396b1510391 : 0396b1510392 : 0396b1510393 : 0396b261p011 : 0396b261p1b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	10.3	0.5	Ma	1.281e-05	6	2.288e-06	17.86
This study	407	0407x462021 : 0407x463051 : 0407x464057 : 0407x473137 : 0407x474086	0407x	0407x4620211 : 0407x4630513 : 0407x4640571 : 0407x4640573 : 0407x4640575 : 0407x4731372 : 0407x4740861	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	33.3	0.1	Ma	2.931e-05	5	2.259e-06	7.708
This study	410	0410a017004 : 0410a024081 : 0410a025013 : 0410a043026 : 0410a063045 : 0410a371106	0410a	0410a0170041 : 0410a0240812 : 0410a0250131 : 0410a0430263 : 0410a0630452 : 0410a3711062	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	10.3	0.7	Ma	8.717e-06	6	4.126e-06	47.33
This study	417	0417d022p2a : 0417d022p2b : 0417d022p2d : 0417d022p2e : 0417d022p4a : 0417d022p4c	0417d	0417d022p2a1 : 0417d022p2a4 : 0417d022p2b1 : 0417d022p2b4 : 0417d022p2d2 : 0417d022p2d4 : 0417d022p2e1 : 0417d022p2e3 : 0417d022p4a1 : 0417d022p4c3 : 0417d022p4c4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	121	1	Ma	1.048e-05	6	4.298e-06	41.03
This study	418	0418a035p2b : 0418a035p2c	0418a	0418a035p2b5 : 0418a035p2c2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	121	1	Ma	1.313e-05	2	2.546e-06	19.39
This study	420	0420x141000 : 0420x171000	0420x	0420x1410001 : 0420x1410002 : 0420x1710001	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	3.4	0.2	Ma	1.604e-05	2	5.091e-07	3.174
This study	423	0423x05cp02 : 0423x061p03 : 0423x081p01	0423x	0423x05cp022 : 0423x061p032 : 0423x081p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	1.7	0.2	Ma	1.239e-05	3	8.289e-06	66.91
This study	447	0447a143076 : 0447a182119 : 0447a254001	0447a	0447a1430762 : 0447a1821192 : 0447a2540013	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	43	2	Ma	2.406e-05	3	9.4e-06	39.07
This study	448	0448a171p1w	0448a	0448a171p1w1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	31	1	Ma	3.653e-05	1	0	0
This study	456	0456a131p06	0456a	0456a131p061	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	3.7	0.2	Ma	1.858e-05	1	0	0
This study	462	0462a394p07 : 0462a394p10 : 0462a541p8c : 0462a581p8b : 0462a581p8c : 0462a596p5a : 0462a623p7b : 0462a693p03	0462a	0462a394p071 : 0462a394p072 : 0462a394p102 : 0462a394p103 : 0462a541p8c1 : 0462a581p8b1 : 0462a581p8c1 : 0462a596p5a1 : 0462a623p7b3 : 0462a693p032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	111	1	Ma	2.035e-05	8	1.538e-05	75.59
This study	469	0469x461p01	0469x	0469x461p011 : 0469x461p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	18.7	0.2	Ma	1.365e-05	1	0	0
This study	470	0470a081091 : 0470a085075 : 0470a131039	0470a	0470a0810911 : 0470a0850751 : 0470a0850752 : 0470a0850753 : 0470a0850754 : 0470a1310392 : 0470a1310393 : 0470a1310394	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	15.2	0.5	Ma	3.498e-05	3	4.718e-06	13.49
This study	474	0474a463000 : 0474a481p13 : 0474a483p01 : 0474a484p09 : 0474a491000 : 0474a492p04	0474a	0474a4630001 : 0474a4630002 : 0474a481p132 : 0474a483p011 : 0474a483p012 : 0474a484p091 : 0474a484p092 : 0474a4910001 : 0474a4910002 : 0474a492p041 : 0474a492p042	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	3.1	0.2	Ma	1.898e-05	6	5.325e-06	28.06
This study	482	0482d112p04 : 0482d113p3a	0482d	0482d112p042 : 0482d113p3a2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	0.3	0.3	Ma	2.21e-05	2	1.177e-05	53.26
This study	483	0483b121000 : 0483b201p13 : 0483b211p06 : 0483b212p1a : 0483b221p01 : 0483b221p7c : 0483b222p03 : 0483b232p8a : 0483b241p7b : 0483b323p07	0483b	0483b1210001 : 0483b1210002 : 0483b201p131 : 0483b201p132 : 0483b211p061 : 0483b212p1a1 : 0483b221p011 : 0483b221p7c2 : 0483b222p032 : 0483b232p8a1 : 0483b241p7b1 : 0483b323p071	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	2	0.2	Ma	2.211e-05	10	1.788e-05	80.87
This study	483	0483x211p06 : 0483x212p08 : 0483x213p01 : 0483x221p01 : 0483x231p8a	0483x	0483x211p062 : 0483x212p082 : 0483x213p011 : 0483x213p012 : 0483x221p011 : 0483x231p8a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	2	0.2	Ma	3.892e-05	5	1.273e-05	32.72
This study	495	0495x471p05 : 0495x481p10 : 0495x482p06 : 0495x483p03	0495x	0495x471p051 : 0495x481p101 : 0495x482p061 : 0495x483p031 : 0495x483p032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	20.7	0.2	Ma	1.692e-05	4	1.788e-06	10.57
This study	510	0510x111000	0510x	0510x1110002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	3.1	0.4	Ma	1.923e-05	1	0	0
This study	520	0520x311020	0520x	0520x3110201 : 0520x3110202	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	15.2	0.2	Ma	2.941e-05	1	0	0
This study	522	0522b051p01	0522b	0522b051p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	35.7	1.3	Ma	1.571e-05	1	0	0
This study	525	0525a005p6b : 0525a592p3h : 0525a594p1r	0525a	0525a005p6b1 : 0525a005p6b4 : 0525a592p3h2 : 0525a592p3h3 : 0525a594p1r1 : 0525a594p1r3	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	72	1	Ma	6.474e-05	3	4.255e-06	6.573
This study	543	0543a132p03 : 0543a152p3a	0543a	0543a132p031 : 0543a132p034 : 0543a152p3a1 : 0543a152p3a4	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	84	1	Ma	8.545e-06	2	1.301e-07	1.523
