tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc
This study	169	0169x171111	0169x	0169x1711112	0169x1711112 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	648	K	-0.293	0.047	0.014	u	0.7	Recalculated from original measurements; supercedes published results.	l	12.1	0.592	0.59	1.174e-05	2.6	8	7	4e-05	-1	9.9	0.9867
This study	169	0169x171111	0169x	0169x1711113	0169x1711113 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	623	K	-0.314	0.052	0.016	u	2.2	Recalculated from original measurements; supercedes published results.	l	14.4	0.573	0.656	1.254e-05	3.5	9	7	4e-05	-1	9.1	0.9811
This study	169	0169x171121	0169x	0169x1711211	0169x1711211 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	371	K	-0.156	0.033	0.005	u	6.4	Recalculated from original measurements; supercedes published results.	l	14.7	0.842	0.741	6.251e-06	7.5	19	7	4e-05	-1	23	0.9813
This study	169	0169x171121	0169x	0169x1711214	0169x1711214 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	371	K	-0.288	0.043	0.012	u	3	Recalculated from original measurements; supercedes published results.	l	10.4	0.945	0.655	1.154e-05	7.5	19	7	4e-05	-1	19.5	0.9685
This study	205	0205x311p01	0205x	0205x311p011	0205x311p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	473	K	-0.606	0.041	0.025	u	0.6	Recalculated from original measurements; supercedes published results.	l	20.6	0.493	0.381	1.818e-05	6.5	7	4	3e-05	-1	9.7	0.9916
This study	205	0205x311p01	0205x	0205x311p012	0205x311p012 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	473	K	-0.501	0.041	0.021	u	3.2	Recalculated from original measurements; supercedes published results.	l	19.5	0.442	0.406	1.503e-05	9.8	6	4	3e-05	-1	7.9	0.9933
This study	205	0205x311p02	0205x	0205x311p021	0205x311p021 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-0.448	0.076	0.034	u	3.3	Recalculated from original measurements; supercedes published results.	l	25	0.665	0.527	1.343e-05	5.9	9	5	3e-05	-1	7.5	0.9601
This study	205	0205x311p02	0205x	0205x311p022	0205x311p022 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	473	K	-0.586	0.06	0.035	u	3.3	Recalculated from original measurements; supercedes published results.	l	11.1	0.543	0.34	1.759e-05	9.6	7	4	3e-05	-1	7.3	0.9819
This study	231	0231x641000	0231x	0231x6410001	0231x6410001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	573	K	-3.408	0.119	0.405	u	2.9	Recalculated from original measurements; supercedes published results.	l	8.9	0.406	0.592	0.0001022	5.1	10	6	3e-05	-1	2.9	0.89
This study	231	0231x642000	0231x	0231x6420001	0231x6420001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	423	K	-1.004	0.071	0.071	u	16.9	Recalculated from original measurements; supercedes published results.	l	9.1	0.945	0.407	3.011e-05	6.2	10	5	3e-05	-1	10	0.9605
This study	238	0238x551xxx	0238x	0238x551xxx1	0238x551xxx1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	623	K	-0.826	0.047	0.038	u	1.3	Recalculated from original measurements; supercedes published results.	l	22.6	0.656	0.434	4.128e-05	8.7	8	9	5e-05	-1	11.6	0.987
This study	238	0238x551xxx	0238x	0238x551xxx3	0238x551xxx3 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	523	K	-0.896	0.052	0.047	u	5.3	Recalculated from original measurements; supercedes published results.	l	24.5	0.839	0.491	4.481e-05	6.6	12	8	5e-05	-1	14.2	0.9729
This study	238	0238x552xxx	0238x	0238x552xxx1	0238x552xxx1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	858	373	K	-0.456	0.05	0.023	u	1	Recalculated from original measurements; supercedes published results.	l	2.3	0.995	0.563	2.28e-05	7.8	20	9	5e-05	-1	16.5	0.9562
This study	238	0238x552xxx	0238x	0238x552xxx2	0238x552xxx2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	858	373	K	-0.433	0.031	0.014	u	1.5	Recalculated from original measurements; supercedes published results.	l	3	0.996	0.592	2.167e-05	8.6	19	8	5e-05	-1	26.4	0.9835
This study	238	0238x562049	0238x	0238x5620492	0238x5620492 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.381	0.044	0.017	u	0.4	Recalculated from original measurements; supercedes published results.	l	14.1	1.003	0.748	1.903e-05	5.5	19	9	5e-05	-1	20.3	0.9674
This study	238	0238x562049	0238x	0238x5620493	0238x5620493 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.446	0.041	0.018	u	1.1	Recalculated from original measurements; supercedes published results.	l	21.1	0.873	0.665	2.229e-05	6.5	17	8	5e-05	-1	19.3	0.9746
This study	238	0238x563026	0238x	0238x5630261	0238x5630261 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	473	K	-0.181	0.024	0.004	u	11.2	Recalculated from original measurements; supercedes published results.	l	10.8	0.777	0.427	9.052e-06	11.6	13	8	5e-05	-1	29.1	0.9936
