tab	measurements
citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
na	NRM0	222.04	-1.46	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.795e-07	4.795000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	LT-NO:LP-DIR-AF:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	1	pmagpy-4.2.96	mc120c-SA4	u	0.0	0.0			0	273.0
na	NRM	223.96	-1.94	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.793e-07	4.793e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT1	LT-LT-Z:LP-DIR-AF:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	2	pmagpy-4.2.96	mc120c-SA4	u	0.0	0.0			1	77.0
na	NRM	223.96	-1.65	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.898e-07	4.898e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT2	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	3	pmagpy-4.2.96	mc120c-SA4	u	0.002	0.0			2	273.0
na	NRM	222.4	-1.86	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.912e-07	4.912e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT3	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	4	pmagpy-4.2.96	mc120c-SA4	u	0.005	0.0			3	273.0
na	NRM	222.82	-1.77	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.746e-07	4.746e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT4	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	5	pmagpy-4.2.96	mc120c-SA4	u	0.008	0.0			4	273.0
na	NRM	221.25	-1.85	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.612e-07	4.612e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT5	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	6	pmagpy-4.2.96	mc120c-SA4	u	0.01	0.0			5	273.0
na	NRM	221.99	-2.09	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.482e-07	4.482000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT6	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	7	pmagpy-4.2.96	mc120c-SA4	u	0.012	0.0			6	273.0
na	NRM	223.01	-1.79	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.234e-07	4.234e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT7	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	8	pmagpy-4.2.96	mc120c-SA4	u	0.015	0.0			7	273.0
na	NRM	223.82	-1.69	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.939e-07	3.939e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT8	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	9	pmagpy-4.2.96	mc120c-SA4	u	0.018	0.0			8	273.0
na	NRM	221.24	-1.44	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.717e-07	3.7170000000000004e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT9	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	10	pmagpy-4.2.96	mc120c-SA4	u	0.02	0.0			9	273.0
na	NRM	221.05	-1.35	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.121e-07	3.121e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT10	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	11	pmagpy-4.2.96	mc120c-SA4	u	0.025	0.0			10	273.0
na	NRM	219.92	-1.05	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	2.416e-07	2.4160000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT11	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	12	pmagpy-4.2.96	mc120c-SA4	u	0.03	0.0			11	273.0
na	NRM	222.52	-0.87	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.8e-07	1.8000000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT12	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	13	pmagpy-4.2.96	mc120c-SA4	u	0.035	0.0			12	273.0
na	NRM	222.45	-0.5	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.391e-07	1.391e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT13	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	14	pmagpy-4.2.96	mc120c-SA4	u	0.04	0.0			13	273.0
