tab 	er_locations
location_type	er_citation_names	location_end_lat	village_city	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
Stratigraphic Section	This study	42.602640	Jeddah	245.60	Snake River	42.602640	245.60
>>>>>>>>>>
tab 	er_samples
sample_dip	sample_orientation_flag	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_type	sample_bed_dip	er_location_name	sample_declination_correction	sample_lat	magic_method_codes	sample_date	sample_location_precision	sample_azimuth	sample_lon	sample_class
-87.0	g		This study	Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite	site	sr01a	Burnt Floor:Bell Mould		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		310.60	245.60	Extraterrestrial
-82.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01c	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		300.70	245.60	Igneous:Extrusive
-76.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01d	Lava Flow		Snake River	15.00	42.60264	SO-SM:SO-CMD-NORTH:SO-POM:FS-FD:FS-LOC-GPS	1999:09:18		340.00	245.60	Igneous:Extrusive
-75.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01e	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		26.30	245.60	Igneous:Extrusive
-80.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01f	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		23.70	245.60	Igneous:Extrusive
-75.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01g	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		322.70	245.60	Igneous:Extrusive
-56.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01i	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		6.80	245.60	Igneous:Extrusive
>>>>>>>>>>
tab 	er_specimens
er_citation_names	er_location_name	er_site_name	er_sample_name	specimen_class	er_specimen_name	specimen_lithology	specimen_type
This study	Snake River	site	sr01a	Extraterrestrial	sr01a1	Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite	Burnt Floor:Bell Mould
This study	Snake River	site	sr01a	Extraterrestrial	sr01a2	Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite	Burnt Floor:Bell Mould
This study	Snake River	sr01	sr01c	Igneous:Extrusive	sr01c2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01d	Igneous:Extrusive	sr01d1	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01e	Igneous:Extrusive	sr01e2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01f	Igneous:Extrusive	sr01f2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01g	Igneous:Extrusive	sr01g2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01i	Igneous:Extrusive	sr01i1	Foid-Bearing-Microsyenite	Lava Flow
>>>>>>>>>>
tab 	er_sites
er_citation_names	site_type	site_class	site_definition	er_site_name	er_location_name	site_location_geoid	site_igsn	site_lithology
This study	Burnt Floor:Bell Mould	Extraterrestrial	s	site	Snake River			Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite
This study	Lava Flow	Extrusive:Igneous	s	sr01	Snake River			Foid-Bearing-Microsyenite
>>>>>>>>>>
tab 	er_ages
er_citation_names	er_site_name	magic_method_codes	age_description	age_unit	er_location_name	biostrat_zone	timescale_epoch	age
This study	site			Ka	Snake River	NN10	Early Devonian	
This study	sr01	GM-ARAR-AP		Ma	Snake River	NN10	Early Cretaceous	3.4
>>>>>>>>>>
tab 	magic_measurements
treatment_ac_field	treatment_temp	measurement_temp	er_citation_names	measurement_magn_moment	measurement_number	treatment_dc_field_theta	er_site_name	er_sample_name	treatment_dc_field_phi	er_location_name	measurement_dec	magic_experiment_name	measurement_inc	measurement_flag	er_specimen_name	treatment_dc_field	er_analyst_mail_names	magic_method_codes
0.000e+00	273.	273.	This study	2.930e-05	0		sr01	sr01e		Snake River	200.60	sr01e2:LP-DIR-AF	27.9	g	sr01e2			LT-NO:LP-DIR-AF
1.000e-02	273.	273.	This study	2.830e-05	1		sr01	sr01e		Snake River	201.00	sr01e2:LP-DIR-AF	27.7	g	sr01e2			LT-AF-Z:LP-DIR-AF
2.000e-02	273.	273.	This study	2.610e-05	2		sr01	sr01e		Snake River	200.50	sr01e2:LP-DIR-AF	27.4	g	sr01e2			LT-AF-Z:LP-DIR-AF
3.000e-02	273.	273.	This study	2.370e-05	3		sr01	sr01e		Snake River	199.90	sr01e2:LP-DIR-AF	27.7	g	sr01e2			LT-AF-Z:LP-DIR-AF
6.000e-02	273.	273.	This study	1.850e-05	4		sr01	sr01e		Snake River	202.50	sr01e2:LP-DIR-AF	27.9	g	sr01e2			LT-AF-Z:LP-DIR-AF
8.000e-02	273.	273.	This study	1.540e-05	5		sr01	sr01e		Snake River	199.40	sr01e2:LP-DIR-AF	27.4	g	sr01e2			LT-AF-Z:LP-DIR-AF
1.000e-01	273.	273.	This study	1.260e-05	6		sr01	sr01e		Snake River	200.30	sr01e2:LP-DIR-AF	27.9	g	sr01e2			LT-AF-Z:LP-DIR-AF
1.200e-01	273.	273.	This study	1.050e-05	7		sr01	sr01e		Snake River	198.90	sr01e2:LP-DIR-AF	27.6	g	sr01e2			LT-AF-Z:LP-DIR-AF
1.400e-01	273.	273.	This study	8.730e-06	8		sr01	sr01e		Snake River	201.60	sr01e2:LP-DIR-AF	27.9	g	sr01e2			LT-AF-Z:LP-DIR-AF
1.600e-01	273.	273.	This study	7.630e-06	9		sr01	sr01e		Snake River	200.50	sr01e2:LP-DIR-AF	27.2	g	sr01e2			LT-AF-Z:LP-DIR-AF
1.800e-01	273.	273.	This study	6.550e-06	10		sr01	sr01e		Snake River	202.30	sr01e2:LP-DIR-AF	27.7	g	sr01e2			LT-AF-Z:LP-DIR-AF
0.000e+00	273.	273.	This study	2.280e-05	0		sr01	sr01g		Snake River	178.70	sr01g2:LP-DIR-AF	39.1	g	sr01g2			LT-NO:LP-DIR-AF
1.000e-02	273.	273.	This study	2.180e-05	1		sr01	sr01g		Snake River	180.60	sr01g2:LP-DIR-AF	38.3	g	sr01g2			LT-AF-Z:LP-DIR-AF
2.000e-02	273.	273.	This study	1.920e-05	2		sr01	sr01g		Snake River	177.90	sr01g2:LP-DIR-AF	38.2	g	sr01g2			LT-AF-Z:LP-DIR-AF
3.000e-02	273.	273.	This study	1.640e-05	3		sr01	sr01g		Snake River	180.00	sr01g2:LP-DIR-AF	38.2	g	sr01g2			LT-AF-Z:LP-DIR-AF
4.000e-02	273.	273.	This study	1.420e-05	4		sr01	sr01g		Snake River	179.80	sr01g2:LP-DIR-AF	38.5	g	sr01g2			LT-AF-Z:LP-DIR-AF
6.000e-02	273.	273.	This study	1.140e-05	5		sr01	sr01g		Snake River	182.90	sr01g2:LP-DIR-AF	38.3	g	sr01g2			LT-AF-Z:LP-DIR-AF
8.000e-02	273.	273.	This study	9.460e-06	6		sr01	sr01g		Snake River	183.10	sr01g2:LP-DIR-AF	38.2	g	sr01g2			LT-AF-Z:LP-DIR-AF
1.000e-01	273.	273.	This study	7.970e-06	7		sr01	sr01g		Snake River	179.50	sr01g2:LP-DIR-AF	38.2	g	sr01g2			LT-AF-Z:LP-DIR-AF
1.200e-01	273.	273.	This study	6.690e-06	8		sr01	sr01g		Snake River	181.50	sr01g2:LP-DIR-AF	38.3	g	sr01g2			LT-AF-Z:LP-DIR-AF
1.400e-01	273.	273.	This study	5.670e-06	9		sr01	sr01g		Snake River	179.10	sr01g2:LP-DIR-AF	38.2	g	sr01g2			LT-AF-Z:LP-DIR-AF
1.600e-01	273.	273.	This study	4.720e-06	10		sr01	sr01g		Snake River	180.10	sr01g2:LP-DIR-AF	38.5	g	sr01g2			LT-AF-Z:LP-DIR-AF
1.800e-01	273.	273.	This study	4.200e-06	11		sr01	sr01g		Snake River	179.90	sr01g2:LP-DIR-AF	38.3	g	sr01g2			LT-AF-Z:LP-DIR-AF
